Unnamed: 0,Project,project name,source,gis,latitude,longitude,Lat Long Values,new price,old price,type,pincode,address,size,BHK,city,RERA Approved,final_price
1,Urbanrise World of Joy,Urbanrise World of Joy,Konu,85545,17.523278,78.347333,"17.523278, 78.347333",7099.0,,Gated community,502032.0,,2223.0,,,no,15781077.0
2,Fortune Greenhomes Sapphire,Fortune Greenhomes Sapphire,Konu,86667,17.467806,78.281389,"17.467806, 78.281389",7200.0,,Gated community,502032.0,,1137.5,,,no,8190000.0
3,Aspire Space Ameya,Aspire Space Ameya,Konu,117585,17.523917,78.346944,"17.523917, 78.346944",6299.0,,Gated community,502032.0,,1340.0,,,no,8440660.0
4,Aakriti Cyan,Aakriti Cyan,Konu,86664,17.469833,78.279361,"17.469833, 78.279361",6299.0,,Gated community,502032.0,,1275.0,,,yes,8031225.0
5,"Aavaas (Miyapur, Hyderabad),by Nebula",Aavaas (Miyapur,Konu,,17.523056,78.355278,"17.523056, 78.355278",6100.0,,Gated community,502032.0,"Hyderabad),by Nebula",1608.0,,,no,9808800.0
6,My Home Jewel,My Home Jewel,Konu,,17.49175,78.338694,"17.491750, 78.338694",6231.0,,Gated community,502032.0,,1246.05,,,no,7764137.55
7,Commercial Space,Commercial Space,Konu,,17.519786,78.31974,"17.519786, 78.319740",9125.0,4280.0,Commercial Spaces,502032.0,,911.95,,,no,8321543.75
8,Industrial Plot,Industrial Plot,Konu,,17.534095,78.331103,"17.534095, 78.331103",10200.0,1500.0,Commercial Spaces,502032.0,,1525.0,,,no,15555000.0
9,Commercial Space,Commercial Space,Konu,,17.524707,78.320577,"17.524707, 78.320577",8200.0,1615.0,Commercial Spaces,502032.0,,934.0,,,no,7658800.0
10,Showroom Space,Showroom Space,Konu,,17.517358,78.320226,"17.517358, 78.320226",10071.0,1420.0,Commercial Spaces,502032.0,,1632.15,,,no,16437382.65
11,Commercial Space,Commercial Space,Konu,,17.520767,78.303785,"17.520767, 78.303785",10067.0,1500.0,Commercial Spaces,502032.0,,3000.0,,,no,30201000.0
12,Stand Alone,Stand Alone,Konu,,17.531528,78.298111,"17.531528, 78.298111",6000.0,1200.0,Stand Alone,502032.0,,1214.0,,,no,7284000.0
13,Stand Alone,Stand Alone,Konu,,17.546278,78.294028,"17.546278, 78.294028",5300.0,1140.0,Stand Alone,502032.0,,911.0,,,no,4828300.0
14,Stand Alone,Stand Alone,Konu,,17.546556,78.294694,"17.546556, 78.294694",6100.0,1050.0,Stand Alone,502032.0,,1069.0,,,no,6520900.0
15,Stand Alone,Stand Alone,Konu,,17.546556,78.294694,"17.546556, 78.294694",5800.0,3006.0,Stand Alone,502032.0,,1323.4,,,no,7675720.000000001
16,Stand Alone,Stand Alone,Konu,,17.518222,78.314194,"17.518222, 78.314194",5750.0,1203.0,Stand Alone,502032.0,,1374.75,,,no,7904812.5
17,Stand Alone,Stand Alone,Konu,,17.521333,78.303056,"17.521333, 78.303056",5300.0,1050.0,Stand Alone,502032.0,,917.0,,,no,4860100.0
18,Stand Alone,Stand Alone,Konu,,17.531222,78.300528,"17.531222, 78.300528",5800.0,3006.0,Stand Alone,502032.0,,2540.0,,,no,14732000.0
18,Stand Alone,Stand Alone,Konu,,17.530417,78.300333,"17.530417, 78.300333",5800.0,3006.0,Stand Alone,502032.0,,928.0,,,no,5382400.0
20,Stand Alone,Stand Alone,Konu,,17.523528,78.303583,"17.523528, 78.303583",4700.0,1250.0,Stand Alone,502032.0,,362.7,,,no,1704690.0
21,Stand Alone,Stand Alone,Konu,,17.535028,78.307972,"17.535028, 78.307972",3750.0,1200.0,Stand Alone,502032.0,,,,,no,
22, Ambience Parkview, Ambience Parkview,Konu,126795,17.449167,78.35875,"17.449167, 78.358750",10200.0,9899.0,Gated community,500032.0,,1322.0,,,no,13484400.0
23, Jayabheri The Nirvana, Jayabheri The Nirvana,Konu,118625,17.430861,78.324028,"17.430861, 78.324028",,,Gated community,500032.0,,910.0,,,yes,
24, Jayabheri The Sahasra, Jayabheri The Sahasra,Konu,118621,17.4365,78.317556,"17.436500, 78.317556",8100.0,9000.0,Gated community,500032.0,,1625.0,,,yes,13162500.0
25, Sumadhura The Olympus, Sumadhura The Olympus,Konu,120104,17.419611,78.349972,"17.419611, 78.349972",10000.0,10000.0,Gated community,500032.0,,880.75,,,no,8807500.0
26,Trendset Jayabheri Elevate,Trendset Jayabheri Elevate,Konu,117746,17.456611,78.366722,"17.456611, 78.366722",13600.0,14000.0,Gated community,500032.0,,1332.5,,,yes,18122000.0
27,Pacifica Hillcrest Phase 2,Pacifica Hillcrest Phase 2,Konu,77827/1,17.407694,78.339667,"17.407694, 78.339667",10300.0,9800.0,Gated community,500032.0,,764.4,,,no,7873320.0
28,Raghava Iris,Raghava Iris,Konu,129835,17.420975,78.383742,"17.420975, 78.383742",13500.0,13500.0,Gated community,500032.0,,1040.0,,,no,14040000.0
29, Niharika Lakefront, Niharika Lakefront,Konu,119990,17.413888,78.370735,"17.413888, 78.370735",,8950.0,Gated community,500032.0,,981.5,,,yes,
30,Niharika Skyline,Niharika Skyline,Konu,122511,17.418977,78.374332,"17.418977, 78.374332",,12300.0,Gated community,500032.0,,1230.0,,,yes,
